,Directed by,Written by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Title,Based on,Language,Release date,Color process,Productioncompanies,Countries,Narrated by,Adaptation by,Suggested by,Narration by,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Hangul,Hanja,Revised Romanization,McCune–Reischauer,Kana,Revised Hepburn,French,Dialogue by,Literally,Country of origin,Original language,Producer,Release,Brazilian Portuguese,Polish,Danish,Native name,Born,Died,Occupation,Nationality,Period,Created by,Alias,Affiliation,Spouse,Religion,Origin,Italian,First appearance,Last appearance,Portrayed by,Gender,Family,Children,Resting place,Education,Years active,Known for,Board member of,Partner,Relatives,Awards,Spanish,Full name,Tenure,Cause of death,Burial,Issue,House,Father,Mother,Signature,Venerated in,Beatified,Canonized,Feast,Patronage,Voiced by,Reign,Coronation,Predecessor,Successor,Regents,Alma mater,Notable work,Spouses,Portuguese,Occupation(s),Literal meaning,Jyutping,German,Animation by,Kanji,Theme song by,Trade name,Company type,Industry,Predecessors,Founded,Founders,Headquarters,Number of locations,Area served,Key people,Products,Number of employees,Parent,Divisions,Subsidiaries,Website,Founder,Defunct,Layouts by,Original title,Genre(s),Published in,Publication date,Backgrounds by,Author,Cover artist,Genre,Publisher,Media type,OCLC,Preceded by,Followed by,Illustrator,Published,Pages,Related,Original work,Book(s),Film(s),Short film(s),Animated series,Direct-to-video,Video game(s),Toy(s),Voices of,Theme music composer,Composer,Producers,Network,Author(s),Current status/schedule,Launch date,Syndicate(s),Preceded by,Editor,Production company,ISBN,No. of series,No. of episodes,Director,Distributor,Released,Runtime,Set in,Dewey Decimal,LC Class,Text,Executive producers,Original languages,Production companies,Directed by,Produced by,Written by,Music by,Studio,Licensed by,Developer,Designed by,Engine,Platform,Hebrew,Presented by,No. of seasons,Occupations,Length,Label,Music,Lyrics,Book,Productions,Recorded,Screen story by,Additional dialogue by,Dialogues by,Visual effects by,Original screenplay by,Katakana,Norwegian,Episode no.,Featured music,Editing by,Original air date,po,Russian,Executive producer,Production locations,Editors,Also known as,Opening theme,Production location,Romanian,Ukrainian,Arabic,Swedish
1447,Cecil B. DeMille,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Jeanie MacPherson
John Howard Lawson
Gladys Unger
",,Cecil B. DeMille,", 
Conrad Nagel
Kay Johnson
Charles Bickford
Julia Faye
",J. Peverell Marley,Anne Bauchens,,Metro-Goldwyn-Mayer,Loew's Inc.,,129 minutes,United States,,,,https://en.wikipedia.org/wiki/Dynamite_(1929_film),,English,", 
December 13, 1929 (1929-12-13) (USA)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,John Murray Anderson,"Charles MacArthur, , Harry Ruskin",,,Carl Laemmle Jr.,"Paul Whiteman, , John Boles, , Laura La Plante, , Jeanie Lang, , Jeanette Loff, , Bing Crosby, , Al Rinker, , Harry Barris, , William T. Kent,  , ,  , Eleanor and Karla Gutöhrlein","Jerome Ash, , Hal Mohr, , Ray Rennahan, ,  (, Technicolor, )",Robert Carlisle,"James Dietrich, , Billy Rose, , Milton Ager, , George Gershwin, , Mabel Wayne, , Jack Yellen, , Ferde Grofé",Universal Pictures,Universal Pictures,,105 minutes,United States,,"$2,000,000 (estimated), [2]",,https://en.wikipedia.org/wiki/King_of_Jazz,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
April 19, 1930 (1930-04-19)[1]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,John Francis Dillon,"Waldemar Young,  , , A.P. Younger",,,,"Marilyn Miller, , Alexander Gray, , Joe E. Brown, , Pert Kelton","Dev Jennings, , Charles Edgar Schoenbaum,  , (Technicolor)",LeRoy Stone,"Jerome Kern,  , , Leonid S. Leonardi, , Irving Berlin, , Al Dubin, , Joe Burke",First National Pictures,Warner Bros. Pictures,,103 minutes,United States,,"$647,000, [1]","$2,198,000, [1]",https://en.wikipedia.org/wiki/Sally_(1929_film),"Sally, , 1920 musical, , by , Guy Bolton,  and , P.G. Wodehouse",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 23, 1929 (1929-12-23)
","Technicolor,  Two-Strip (original)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Ludwig Berger,Herman J. Mankiewicz,,,Adolph Zukor,"Dennis King, , Jeanette MacDonald","Henry W. Gerrard, , Ray Rennahan, , (Technicolor)",Merrill G. White,"Rudolf Friml, , W. Franke Harling, ,  , John Leipold, , Oscar Potoker",Paramount Pictures,Paramount Pictures,,104 minutes,United States,,"$1,250,000, [1]",,https://en.wikipedia.org/wiki/The_Vagabond_King_(1930_film),"Justin Huntly McCarthy,  , (novel and play), , William H. Post and , Brian Hooker,  , (operetta)",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
February 17, 1930 (1930-02-17)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,David Butler,"Buddy G. DeSylva, , Lew Brown, , Ray Henderson",,,Buddy G. DeSylva,"El Brendel, , Maureen O'Sullivan, , John Garrick, , Marjorie White",Ernest Palmer,Irene Morra,"Hugo Friedhofer, , Arthur Kay",,Fox Film Corporation,,109 minutes,United States,,"$1,100,000",,https://en.wikipedia.org/wiki/Just_Imagine,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 23, 1930 (1930-11-23)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,Thornton Freeland,"William M. Conselman, , E.J. Rath,  (story), ,  , Robert Hobart Davis,  (story), , Owen Davis,  (play), , William Anthony McGuire,  (musical)",,,"Samuel Goldwyn,  , , Florenz Ziegfeld","Eddie Cantor, , Ethel Shutta, , Eleanor Hunt","Lee Garmes, , Ray Rennahan, , Gregg Toland",Stuart Heisler,"Nacio Herb Brown, , Walter Donaldson, , Edward Eliscu",Samuel Goldwyn Productions,United Artists,,101 minutes,United States,,"$1.3 million, [1]","$2,655,000, [2]",https://en.wikipedia.org/wiki/Whoopee!_(film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
September 30, 1930 (1930-09-30)
",Technicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,William K. Howard,"Guy Bolton, , Lynn Starling",,,,Edmund Lowe,James Wong Howe,Jack Murray,,,Fox Film Corporation,,78 minutes,United States,,,,https://en.wikipedia.org/wiki/Transatlantic_(1931_film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
August 30, 1931 (1931-08-30)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,René Clair,René Clair,,,"Frank Clifford, , Alexandre Kamenka (uncredited)","Henri Marchand, , Raymond Cordy, , Rolla France",Georges Périnal,René Le Hénaff,Georges Auric,,"Films Sonores Tobis, , Joseph Burstyn,  (1954 US re-release)",,104 minutes,France,,,,https://en.wikipedia.org/wiki/%C3%80_Nous_la_Libert%C3%A9,,French,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
18 December 1931 (1931-12-18)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,"Harry Beaumont, , Robert Z. Leonard,  (uncredited retakes)",,"Leon Gordon, , John Meehan",,"Lawrence Weingarten,  (associate producer)","Ann Harding, , Robert Montgomery, , Myrna Loy, , Alice Brady, , Frank Morgan",Ray June,Hugh Wynn,William Axt,Metro-Goldwyn-Mayer,Loew's Inc.,,85 minutes,United States,,,,https://en.wikipedia.org/wiki/When_Ladies_Meet_(1933_film),"When Ladies Meet, , 1932 play, , by , Rachel Crothers",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
June 23, 1933 (1933-06-23)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,Ernst Lubitsch,"Libretto:, , Victor Léon, , Leo Stein, , Screenplay:, , Ernest Vajda, , Samson Raphaelson, , Marcel Achard, , (French version)",,,"Irving Thalberg, , Ernst Lubitsch","Maurice Chevalier, , Jeanette MacDonald",Oliver T. Marsh,"Frances Marsh,  (English), , Adrienne Fazan,  (French)",Franz Lehár,Metro-Goldwyn-Mayer,Loew's Inc.,,99 minutes,United States,"English, , French, , (separate versions)","$1,605,000, [1]","$2.8 million (worldwide rentals), [1]",https://en.wikipedia.org/wiki/The_Merry_Widow_(1934_film),,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
October 11, 1934 (1934-10-11)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,Henry King,"Walter Ferris, , Curtis Kenyon, , Ernest Pascal",,,"Darryl F. Zanuck, , Kenneth Macgowan","Freddie Bartholomew, , Madeleine Carroll, , Guy Standing, , Tyrone Power",Bert Glennon,Barbara McLean,"R.H. Bassett, , David Buttolph, , Cyril J. Mockridge",20th Century Fox,20th Century Fox,,115 minutes,United States,,"$850,000–$1,000,000, [1], [2]","$2 million, [3]",https://en.wikipedia.org/wiki/Lloyd%27s_of_London_(film),,English,"November 25, 1936,  (1936-11-25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,John G. Blystone,"Lewis R. Foster, , Owen Francis, , Bertram Millhauser",,,"Edmund Grainger, , Charles R. Rogers",Victor McLaglen,Merritt B. Gerstad,Ted J. Kent,Arthur Lange,Universal Pictures,Universal Pictures,,80 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Magnificent_Brute_(1936_film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
October 11, 1936 (1936-10-11)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,Alfred Santell,,Anthony Veiller,,Pandro S. Berman,"Burgess Meredith, , Margo, , Eduardo Ciannelli, , John Carradine, , Edward Ellis",J. Peverell Marley,William Hamilton,"Nathaniel Shilkret,  , (uncredited)",,RKO Radio Pictures,,77 minutes,United States,,"$407,000, [2]","$682,000, [2]",https://en.wikipedia.org/wiki/Winterset_(film),"Winterset, , by , Maxwell Anderson",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 20, 1936 (1936-11-20)
, [1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,George Stevens,,"P. G. Wodehouse, , Ernest Pagano, , S. K. Lauren",,Pandro S. Berman,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Fred Astaire
George Burns
Gracie Allen
Joan Fontaine
",Joseph H. August,Henry Berman,", 
George Gershwin (songs)
Victor Baravalle
",RKO Radio Pictures,RKO Radio Pictures,,98 minutes,United States,,"$1,035,000, [1]","$1,465,000, [1]",https://en.wikipedia.org/wiki/A_Damsel_in_Distress_(1937_film),"A Damsel in Distress, , 1919 novel, , by , P. G. Wodehouse, ,  1928 play by Wodehouse and , Ian Hay",English,", 
November 19, 1937 (1937-11-19)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,A. Edward Sutherland,,Mae West,,Emanuel Cohen,"Mae West, , Edmund Lowe, , Charles Butterworth, , Charles Winninger, , Walter Catlett, , Lloyd Nolan",Karl Struss,Ray Curtiss,George Stoll,Major Pictures,Paramount Pictures,,80 minutes,United States,,,,https://en.wikipedia.org/wiki/Every_Day%27s_a_Holiday_(1937_film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 18, 1937 (1937-12-18)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,Charles Reisner,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Frank Hummert (musical revue)Harry Sauber (screenplay)",,,Harry Sauber (associate producer),", Phil ReganLeo CarrilloAnn Dvorak",Jack A. Marta,Ernest J. Nims,Alberto Colombo,Republic Pictures,Republic Pictures,,89 minutes,United States,,,,https://en.wikipedia.org/wiki/Manhattan_Merry-Go-Round_(film),,English,", 
November 26, 1937 (1937-11-26) (United States)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,"John Cromwell, , W. S. Van Dyke,  (uncredited)","Wells Root (adaptation), , Donald Ogden Stewart,  (additional dialogue), , Ben Hecht,  (uncredited), , Sidney Howard,  (uncredited)","John L. Balderston,  from the novel (and , Edward Rose, 's dramatization)",,David O. Selznick,"Ronald Colman, , Madeleine Carroll, , Douglas Fairbanks Jr.","James Wong Howe, , Bert Glennon,  (uncredited)","James E. Newcom, , Hal C. Kern, , (supervising film editor)",Alfred Newman,Selznick International Pictures,United Artists,,101 minutes,United States,,"$1,250,000, [1]","$2.5 million (U.S. and Canada rentals), [2]",https://en.wikipedia.org/wiki/The_Prisoner_of_Zenda_(1937_film),"The Prisoner of Zenda, , 1894 novel, , by , Anthony Hope",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
September 2, 1937 (1937-09-02)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Henry Hathaway,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Grover Jones
Dale Van Every
",Ted Lesser,", 
Henry Hathaway
Grover Jones
Adolph Zukor
",", 
Gary Cooper
George Raft
Frances Dee
",Charles Lang,Ellsworth Hoagland,", 
W. Franke Harling
Milan Roder
",Paramount Pictures,Paramount Pictures,", 
August 9, 1937 (1937-08-09)
, (New York City), [1], , , 
September 3, 1937 (1937-09-03) (US)
",92 minutes,United States,,,,https://en.wikipedia.org/wiki/Souls_at_Sea,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,"Irving Cummings, , Charles Kerr,  (assistant)","Bella Spewack, , Sam Spewack",,,Walter Wanger,"Warner Baxter, , Joan Bennett",Ray Rennahan,"Otho Lovering, , Dorothy Spencer","Victor Young,  (uncredited)",Walter Wanger Productions,United Artists,,109 minutres,United States,,"$1,048,435, [1]","$1,089,956, [1]",https://en.wikipedia.org/wiki/Walter_Wanger%27s_Vogues_of_1938,,English,"August 12, 1937 (Radio City Music Hall)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,John Ford,"Julien Josephson, , Ernest Pascal, , Mordaunt Shairp,  (uncredited)",,,"Darryl F. Zanuck, , Gene Markey","Shirley Temple, , Victor McLaglen, , C. Aubrey Smith, , Cesar Romero",Arthur C. Miller,Walter Thompson,Alfred Newman,20th Century-Fox,20th Century-Fox,,100 minutes,United States,,"over $1 million, [2]",,https://en.wikipedia.org/wiki/Wee_Willie_Winkie_(film),"Wee Willie Winkie , , 1888 story in , Week's News, , by , Rudyard Kipling",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
June 25, 1937 (1937-06-25) (Los Angeles)
, [1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,David Butler,"Story:, , Maxwell Shane, , Warren Wilson, , William C. Thomas, , Screenplay:, , Monte Brice, , Charles Grayson",,,Buddy G. DeSylva,"Alice Faye, , George Murphy, , Ken Murray",George Robinson,Bernard W. Burton,"Charles E. Henderson, . Songs: , Jimmy McHugh,  (music), , Harold Adamson,  (lyrics)",Universal Pictures,Universal Pictures,,96 minutes,United States,,"$800,000, [1]",,https://en.wikipedia.org/wiki/You%27re_a_Sweetheart,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 26, 1937 (1937-12-26)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Norman Taurog,John V.A. Weaver,,,David O. Selznick,"Tommy Kelly, , Jackie Moran, , May Robson, , Ann Gillis, , Walter Brennan, , Victor Jory",James Wong Howe,,"Max Steiner,  (uncredited)",Selznick International Pictures,United Artists,,91 minutes,United States,,"$1.5 million, [2]","$2 million (U.S. and Canada rentals), [3]",https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer_(1938_film),"The Adventures of Tom Sawyer, , 1876 novel, , by , Mark Twain",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
February 17, 1938 (1938-02-17)
, (New York City), [1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Mark Sandrich,"Original idea:, , Marian Ainslee, , Guy Endore, , Story & adaptation:, , Dudley Nichols, , Hagar Wilde, , Screenplay:, , Allan Scott, , Ernest Pagano",,,Pandro S. Berman,"Fred Astaire, , Ginger Rogers,  , ,  , Ralph Bellamy",Robert De Grasse,William Hamilton,"Irving Berlin,  , (songs), , Victor Baravalle,  , (score)",RKO Radio Pictures,RKO Radio Pictures,,83 minutes,United States,,"$1,253,000, [1]","$1,731,000, [1]",https://en.wikipedia.org/wiki/Carefree_(film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
September 2, 1938 (1938-09-02)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
